amount,category,currency,merchant,normalized_inr,note,payment_method,raw_transcript,ts
800,transport,INR,Rapido,800,Cab ride,netbanking,800 rupees on Rapido cab ride on 24th of January 2025 paid via netbanking.,2025-01-24T00:45:00.000Z
450,food,INR,Domino's,450,Lunch meal,gpay,I spent 450 rupees at Domino's for lunch meal on 16th of February 2025 and paid using GPay.,2025-02-16T12:15:09.000Z
2000,shopping,INR,Amazon,2000,T-shirt purchase,credit_card,Can you record an expense of 2000 rupees for t-shirt purchase at Amazon on 18th of February 2025 paid via credit card.,2025-02-18T00:50:15.000Z
500,shopping,INR,Flipkart,500,Jeans purchase,upi,Can you record an expense of 500 rupees for jeans purchase at Flipkart on 21st of February 2025 paid via UPI.,2025-02-21T18:50:45.000Z
220,food,INR,Food Panda,220,Paneer tikka,debit_card,Can you add an expense of 220 rupees for paneer tikka from Food Panda on 23rd of February 2025 and I paid via debit card.,2025-02-23T12:50:15.000Z
5000,shopping,INR,Amazon,5000,Clothes purchase,credit_card,Can you record an expense of 5000 rupees for clothes purchase at Amazon on 5th of March 2025 paid via credit card.,2025-03-05T15:50:00.000Z
500,food,INR,McDonald's,500,Fries and coke,gpay,I spent 500 rupees at McDonald's for fries and coke on 6th of March 2025 and paid using GPay.,2025-03-06T18:05:15.000Z
650,food,INR,Zomato,650,Biriyani order,credit_card,Can you add an expense of 650 rupees for biriyani order from Zomato on 16th of March 2025 and I paid via credit card.,2025-03-16T15:45:15.000Z
180,food,INR,Zomato,180,Sweets and snacks,debit_card,Can you add an expense of 180 rupees for sweets and snacks from Zomato on 25th of March 2025 and I paid via debit card.,2025-03-25T12:00:45.000Z
500,food,INR,Food Panda,500,Thai red curry,upi,Can you add an expense of 500 rupees for thai red curry from Food Panda on 29th of March 2025 and I paid via UPI.,2025-03-29T00:00:15.000Z
500,food,INR,Swiggy,500,Biriyani order,upi,Can you add an expense of 500 rupees for biriyani order from Swiggy on 31st of March 2025 and I paid via UPI.,2025-03-31T09:45:45.000Z
250,food,INR,Food Panda,250,Biriyani order,debit_card,Can you add an expense of 250 rupees for biriyani order from Food Panda on 1st of April 2025 and I paid via debit card.,2025-04-01T00:45:30.000Z
1500,shopping,INR,Max,1500,T-shirt purchase,credit_card,Can you record an expense of 1500 rupees for t-shirt purchase at Max on 3rd of April 2025 paid via credit card.,2025-04-03T15:45:15.000Z
3700,food,INR,Zomato,3700,Veg thali,debit_card,Can you add an expense of 3700 rupees for veg thali from Zomato on 5th of April 2025 and I paid via debit card.,2025-04-05T18:15:09.000Z
650,food,INR,McDonald's,650,Pizza order,debit_card,I spent 650 rupees at McDonald's for pizza order on 9th of April 2025 and paid using debit card.,2025-04-09T22:50:45.000Z
2800,food,INR,Zomato,2800,Biriyani order,credit_card,Can you add an expense of 2800 rupees for biriyani order from Zomato on 27th of April 2025 and I paid via credit card.,2025-04-27T15:15:30.000Z
500,food,INR,Domino's,500,Fries and coke,credit_card,I spent 500 rupees at Domino's for fries and coke on 30th of April 2025 and paid using credit card.,2025-04-30T15:10:30.000Z
800,transport,INR,Uber,800,Cab ride,netbanking,800 rupees on Uber cab ride on 3rd of May 2025 paid via netbanking.,2025-05-03T09:00:45.000Z
220,food,INR,McDonald's,220,Pizza order,debit_card,I spent 220 rupees at McDonald's for pizza order on 12th of May 2025 and paid using debit card.,2025-05-12T00:30:30.000Z
220,transport,INR,Ola,220,Late night ride,upi,220 rupees on Ola late night ride on 16th of May 2025 paid via UPI.,2025-05-16T00:30:00.000Z
1500,food,INR,Food Panda,1500,Sandwiches,gpay,Can you add an expense of 1500 rupees for sandwiches from Food Panda on 16th of May 2025 and I paid via GPay.,2025-05-16T09:30:45.000Z
1200,food,INR,Food Panda,1200,Coffee expense,netbanking,Can you add an expense of 1200 rupees for coffee expense from Food Panda on 19th of May 2025 and I paid via netbanking.,2025-05-19T09:45:15.000Z
